kanji,level
具,0.2222222222222222
君,0.2222222222222222
係,0.2222222222222222
軽,0.2222222222222222
血,0.2222222222222222
決,0.2222222222222222
研,0.2222222222222222
県,0.2222222222222222
庫,0.2222222222222222
湖,0.2222222222222222
向,0.2222222222222222
幸,0.2222222222222222
港,0.2222222222222222
号,0.2222222222222222
根,0.2222222222222222
祭,0.2222222222222222
皿,0.2222222222222222
仕,0.2222222222222222
死,0.2222222222222222
使,0.2222222222222222
始,0.2222222222222222
指,0.2222222222222222
歯,0.2222222222222222
詩,0.2222222222222222
次,0.2222222222222222
事,0.2222222222222222
持,0.2222222222222222
式,0.2222222222222222
実,0.2222222222222222
写,0.2222222222222222
者,0.2222222222222222
主,0.2222222222222222
守,0.2222222222222222
取,0.2222222222222222
酒,0.2222222222222222
受,0.2222222222222222
